Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMZN,AXP,BA,BAC,BK,C,CAT,CL,COP,COST,CRM,CSCO,CVX,DIS,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,MA,MCD,MMM,MSFT,NEE,NFLX,NKE,ORCL,PEP,PFE,PG,RTX,SBUX,T,TMUS,TSLA,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM
2015-01-02,24.261049270629883,42.394859313964844,36.58061981201172,74.25260925292969,72.33999633789062,43.568634033203125,2.6700000762939453,117.26701354980469,15.425999641418457,79.66759490966797,113.6572036743164,14.356870651245117,30.94806671142578,40.65379333496094,69.51953887939453,53.75471115112305,48.738216400146484,114.29750061035156,58.72541809082031,19.935264587402344,70.9936752319336,85.94351959228516,26.014022827148438,26.319652557373047,157.14906311035156,80.87494659423828,76.50617980957031,98.66402435302734,27.896451950073242,77.44417572021484,46.94808578491211,30.222618103027344,107.05681610107422,57.56113815307617,80.21143341064453,71.49818420410156,96.521484375,39.93306350708008,20.168502807617188,49.84857177734375,41.862125396728516,37.648338317871094,69.21912384033203,19.018001556396484,66.98348999023438,55.9901123046875,32.895294189453125,11.783349990844727,26.50535774230957,14.620667457580566,39.91104507446289,85.58504486083984,93.20462036132812,61.46249008178711,27.029993057250977,40.37086486816406,23.266572952270508,58.42350387573242
2015-01-05,23.577571868896484,41.597015380859375,36.58876037597656,72.99891662597656,71.9800033569336,42.70674133300781,2.6600000858306885,115.87353515625,15.10949993133545,77.5606918334961,112.87005615234375,13.939800262451172,30.15256690979004,39.372589111328125,65.849853515625,53.35761642456055,46.418697357177734,112.9980239868164,57.664710998535156,19.53814697265625,68.15597534179688,84.6875991821289,25.471742630004883,25.818161010742188,152.24244689941406,79.17814636230469,75.04827117919922,97.11161041259766,27.58190155029297,76.90327453613281,45.490577697753906,30.222618103027344,104.23107147216797,56.99424362182617,77.9552230834961,70.70852661132812,94.34469604492188,39.56584167480469,19.954891204833984,47.31142807006836,41.18813705444336,37.12034606933594,68.6987075805664,18.914806365966797,66.6650161743164,55.05565643310547,32.265167236328125,11.672022819519043,26.146127700805664,14.005999565124512,39.2916374206543,84.17533111572266,90.05354309082031,60.105777740478516,26.80550765991211,39.263790130615234,23.198854446411133,56.824913024902344
2015-01-06,23.579795837402344,41.391136169433594,36.17325210571289,72.47237396240234,70.52999877929688,42.101097106933594,2.630000114440918,112.14038848876953,14.76449966430664,75.90774536132812,111.54061889648438,13.522732734680176,29.28057289123535,37.98650360107422,65.4261474609375,52.797019958496094,44.502262115478516,114.4912109375,56.70313262939453,19.530925750732422,68.12442779541016,84.2384033203125,24.88138198852539,25.18098258972168,149.1626739501953,78.93572998046875,74.87268829345703,95.01728820800781,27.067848205566406,76.5254135131836,44.3110466003418,30.452119827270508,102.896484375,57.28179168701172,77.7867431640625,70.83885955810547,93.33866119384766,38.985111236572266,20.032400131225586,46.50143051147461,40.945858001708984,36.737117767333984,68.17832946777344,19.072629928588867,66.36135864257812,54.27693557739258,32.00261688232422,11.689420700073242,26.087879180908203,14.085332870483398,38.64236831665039,84.0054702758789,88.19119262695312,59.718467712402344,27.07602882385254,38.44457244873047,23.377622604370117,56.52280044555664
2015-01-07,23.910436630249023,43.064022064208984,36.466556549072266,73.99351501464844,71.11000061035156,42.30296325683594,2.5799999237060547,116.05684661865234,14.920999526977539,77.5655746459961,113.27237701416016,13.586892127990723,29.88484764099121,38.3386344909668,66.44003295898438,53.21747589111328,44.79927062988281,116.48480987548828,56.435482025146484,19.711437225341797,68.06767272949219,85.10011291503906,24.838754653930664,25.10692596435547,151.38560485839844,81.6412124633789,75.41463470458984,94.39627838134766,27.635604858398438,78.21475219726562,44.37867736816406,30.832231521606445,104.04984283447266,56.879215240478516,78.9967269897461,72.07316589355469,94.01522064208984,39.48042678833008,20.215763092041016,46.74285888671875,41.79164505004883,36.74565124511719,70.17193603515625,19.333650588989258,66.70947265625,54.865840911865234,32.79027557373047,11.757574081420898,27.427703857421875,14.063332557678223,39.33640670776367,84.86320495605469,88.67839813232422,60.518577575683594,26.90130615234375,38.673362731933594,23.997875213623047,57.09553527832031
2015-01-08,24.829132080078125,43.5144157409668,37.21609878540039,75.1218490600586,72.91999816894531,42.11661148071289,2.609999895095825,115.63878631591797,15.02299976348877,78.66503143310547,115.27527618408203,13.867615699768066,30.297893524169922,38.91555404663086,67.12098693847656,53.94158172607422,45.916595458984375,117.48567199707031,58.08106231689453,19.863061904907227,69.62527465820312,85.98018646240234,24.91707420349121,25.194400787353516,153.80255126953125,83.44747924804688,76.7885971069336,96.44795227050781,28.149639129638672,78.82975769042969,45.37036895751953,31.205177307128906,105.7634048461914,58.22662353515625,80.22549438476562,72.34148406982422,96.26853942871094,40.64188003540039,20.338642120361328,47.779998779296875,42.75636672973633,36.96704864501953,71.447265625,19.72821807861328,67.47233581542969,55.80031204223633,33.31940841674805,11.874549865722656,28.17529296875,14.041333198547363,39.97821807861328,88.91401672363281,92.0023422241211,61.330291748046875,27.477893829345703,39.529502868652344,24.504379272460938,58.045860290527344
2015-01-09,24.85575294494629,42.32408905029297,36.82502746582031,75.03829193115234,71.83999633789062,41.402252197265625,2.630000114440918,114.21598052978516,14.846500396728516,77.66864013671875,115.0478515625,13.618974685668945,29.854246139526367,38.04644012451172,66.3189697265625,53.412132263183594,45.90953063964844,115.67770385742188,57.6547966003418,20.065229415893555,68.23792266845703,86.40188598632812,24.594383239746094,24.886743545532227,151.44219970703125,82.01654052734375,75.51390075683594,96.86805725097656,28.20335578918457,77.75537109375,44.581520080566406,30.86091423034668,104.33817291259766,57.4543342590332,79.20308685302734,71.4598388671875,95.08600616455078,40.300270080566406,20.15904998779297,47.04142761230469,42.28501510620117,36.950016021728516,70.9635238647461,19.819263458251953,66.84278106689453,55.49367904663086,32.228824615478516,11.83910083770752,28.398597717285156,13.77733325958252,40.000587463378906,88.08177947998047,90.3521499633789,60.42117691040039,27.233287811279297,38.88002014160156,24.201025009155273,57.964046478271484
2015-01-12,24.2432918548584,42.31122589111328,37.13461685180664,74.81258392333984,71.12000274658203,40.65681838989258,2.630000114440918,114.57537078857422,14.570500373840332,76.87840270996094,114.46186065673828,13.378362655639648,29.4258975982666,37.746742248535156,65.74394226074219,53.14739990234375,44.60126876831055,115.03201293945312,57.22853088378906,20.252954483032227,66.76860809326172,86.5943832397461,24.41494369506836,24.704837799072266,149.59921264648438,81.64905548095703,75.14749145507812,95.2425308227539,28.080589294433594,77.48861694335938,44.198368072509766,30.581212997436523,104.1075210571289,57.03531265258789,78.1900634765625,71.30652618408203,94.56828308105469,39.79641342163086,20.10801124572754,45.547142028808594,42.227752685546875,36.847835540771484,70.67033386230469,19.892107009887695,66.59835052490234,55.70297622680664,32.40654373168945,11.871004104614258,28.418018341064453,13.480667114257812,39.642391204833984,87.08819580078125,89.55847930908203,60.302886962890625,27.41965675354004,38.415042877197266,24.38249969482422,56.850067138671875
2015-01-13,24.45854377746582,41.09251403808594,36.53672790527344,75.08007049560547,70.58999633789062,40.27634048461914,2.6600000858306885,113.78324127197266,14.737000465393066,76.6464614868164,114.72425842285156,13.19388484954834,29.372365951538086,37.47700881958008,65.3504867553711,53.513343811035156,44.155731201171875,113.87779998779297,57.466453552246094,20.289060592651367,65.70918273925781,87.26361083984375,24.594877243041992,24.940425872802734,149.48594665527344,81.1095199584961,75.68180084228516,95.46778106689453,28.003864288330078,77.62200927734375,44.205875396728516,30.574047088623047,103.39075469970703,57.00244140625,78.36827850341797,71.16851806640625,94.49766540527344,39.59145736694336,20.18741226196289,46.255714416503906,41.853309631347656,36.55830764770508,70.61903381347656,19.691791534423828,66.87980651855469,55.649444580078125,32.6650505065918,11.871004104614258,28.612194061279297,13.616666793823242,39.39611053466797,87.52978515625,87.8768539428711,60.47914505004883,27.477893829345703,38.26744842529297,24.190185546875,56.64240646362305
2015-01-14,24.36534309387207,41.29348373413086,36.26646423339844,74.20246887207031,69.98999786376953,39.895851135253906,2.630000114440918,113.79793548583984,14.66349983215332,74.79106140136719,114.0333023071289,12.865041732788086,28.630393981933594,36.7502555847168,65.12347412109375,53.29533386230469,44.283042907714844,112.44110107421875,56.75270080566406,20.159095764160156,65.5199966430664,86.383544921875,24.827354431152344,25.145692825317383,145.6868133544922,80.25723266601562,75.33068084716797,94.85289764404297,27.888784408569336,77.05888366699219,42.68075942993164,30.523832321166992,102.64106750488281,57.31467819213867,78.28385925292969,70.1795425415039,94.03876495361328,39.24985122680664,20.312179565429688,46.31999969482422,41.28065490722656,36.66900634765625,70.85357666015625,19.71607780456543,66.65021514892578,55.25031661987305,32.483299255371094,11.814287185668945,28.709280014038086,12.845999717712402,39.33640670776367,87.75057220458984,87.50752258300781,59.268558502197266,27.355594635009766,37.824623107910156,23.458873748779297,56.478755950927734
2015-01-15,23.70406150817871,40.76838302612305,35.99617385864258,73.69265747070312,70.29000091552734,39.13490676879883,2.5199999809265137,111.421630859375,14.34749984741211,73.76887512207031,113.82339477539062,12.191309928894043,28.492717742919922,35.38663101196289,64.32254028320312,53.1941032409668,43.427364349365234,112.44110107421875,54.63129425048828,19.790863037109375,64.74439239501953,86.49354553222656,24.872953414916992,25.050264358520508,144.28028869628906,78.982666015625,74.12466430664062,94.10405731201172,27.766023635864258,75.94003295898438,41.31340026855469,30.39474868774414,102.5422134399414,57.298240661621094,77.14892578125,70.0568618774414,93.932861328125,38.839935302734375,20.234668731689453,46.25143051147461,40.884185791015625,36.302825927734375,70.85357666015625,19.667510986328125,66.55393981933594,55.25031661987305,32.14400863647461,11.789477348327637,28.33063316345215,12.791333198547363,39.09761428833008,88.7101821899414,87.06746673583984,58.70500564575195,27.43130111694336,37.43345260620117,23.667436599731445,55.98784637451172
